time	V(n015)
1.777562238983413e-003	-1.343683e+001
1.777619238860974e-003	-1.343683e+001
1.777676238738535e-003	-1.343683e+001
1.777733238616096e-003	-1.343683e+001
1.777770666153006e-003	-1.343683e+001
1.777801910327143e-003	-1.343683e+001
1.777836967053942e-003	-1.343683e+001
1.777856723751109e-003	-1.343683e+001
1.777889891090026e-003	-1.343683e+001
1.777921241444998e-003	-1.343683e+001
1.777925169101365e-003	-1.343683e+001
1.777926151015456e-003	-1.343683e+001
1.777928114843640e-003	-1.343683e+001
1.777932042500006e-003	-1.343683e+001
1.777933024414098e-003	-1.343683e+001
1.777934988242282e-003	-1.343683e+001
1.777936066248945e-003	-1.343683e+001
1.777937191879402e-003	-1.343683e+001
1.777938133015848e-003	-1.343683e+001
1.777939017253288e-003	-1.343683e+001
1.777939914190514e-003	-1.343683e+001
1.777940906493608e-003	-1.343682e+001
1.777941756317528e-003	-1.343682e+001
1.777942658192991e-003	-1.343682e+001
1.777943209557306e-003	-1.343682e+001
1.777943638146942e-003	-1.343682e+001
1.777944095617212e-003	-1.343681e+001
1.777944638258394e-003	-1.343681e+001
1.777945134205552e-003	-1.343680e+001
1.777945354965400e-003	-1.343679e+001
1.777945563659081e-003	-1.343679e+001
1.777945846081472e-003	-1.343678e+001
1.777946118120793e-003	-1.343677e+001
1.777946431932291e-003	-1.343677e+001
1.777946763434520e-003	-1.343676e+001
1.777947215048134e-003	-1.343674e+001
1.777947805350705e-003	-1.343673e+001
1.777948777261791e-003	-1.343669e+001
1.777950136789316e-003	-1.343665e+001
1.777951925581840e-003	-1.343657e+001
1.777956965124117e-003	-1.343633e+001
1.777981915379968e-003	-1.343457e+001
1.778006865635820e-003	-1.343219e+001
1.778031815891671e-003	-1.342919e+001
1.778056766147523e-003	-1.342557e+001
1.778081716403374e-003	-1.342134e+001
1.778106666659225e-003	-1.341649e+001
1.778131616915077e-003	-1.341102e+001
1.778195352350312e-003	-1.338908e+001
1.778226277950115e-003	-1.336615e+001
1.778248494975564e-003	-1.330850e+001
1.778264501029789e-003	-1.319455e+001
1.778281650224187e-003	-1.300095e+001
1.778331835416432e-003	-1.237465e+001
1.778403458890451e-003	-1.148229e+001
1.778442314594217e-003	-1.099901e+001
1.778513452731369e-003	-1.011569e+001
1.778652954778248e-003	-8.389335e+000
1.778703049561683e-003	-7.771182e+000
1.778753144345117e-003	-7.154047e+000
1.778803239128552e-003	-6.537929e+000
1.778853333911986e-003	-5.922829e+000
1.778903428695421e-003	-5.308745e+000
1.778953523478855e-003	-4.695679e+000
1.779003618262290e-003	-4.083630e+000
