v3	V(vout)
-7.919999999999998e-001	-9.745054e-001
-7.909999999999998e-001	-9.725803e-001
-7.899999999999998e-001	-9.706573e-001
-7.889999999999998e-001	-9.687367e-001
-7.879999999999998e-001	-9.668182e-001
-7.869999999999998e-001	-9.649017e-001
-7.859999999999998e-001	-9.629874e-001
-7.849999999999998e-001	-9.610751e-001
-7.839999999999998e-001	-9.591648e-001
-7.829999999999998e-001	-9.572564e-001
-7.819999999999998e-001	-9.553499e-001
-7.809999999999998e-001	-9.534453e-001
-7.799999999999998e-001	-9.515424e-001
-7.789999999999998e-001	-9.496414e-001
-7.779999999999998e-001	-9.477420e-001
-7.769999999999998e-001	-9.458444e-001
-7.759999999999998e-001	-9.439485e-001
-7.749999999999998e-001	-9.420542e-001
-7.739999999999998e-001	-9.401615e-001
-7.729999999999998e-001	-9.382704e-001
-7.719999999999998e-001	-9.363808e-001
-7.709999999999998e-001	-9.344928e-001
-7.699999999999998e-001	-9.326062e-001
-7.689999999999998e-001	-9.307211e-001
-7.679999999999998e-001	-9.288375e-001
-7.669999999999998e-001	-9.269553e-001
-7.659999999999998e-001	-9.250745e-001
-7.649999999999998e-001	-9.231951e-001
-7.639999999999998e-001	-9.213170e-001
-7.629999999999998e-001	-9.194403e-001
-7.619999999999998e-001	-9.175650e-001
-7.609999999999998e-001	-9.156909e-001
-7.599999999999998e-001	-9.138181e-001
-7.589999999999998e-001	-9.119467e-001
-7.579999999999998e-001	-9.100764e-001
-7.569999999999998e-001	-9.082074e-001
-7.559999999999998e-001	-9.063397e-001
-7.549999999999998e-001	-9.044732e-001
-7.539999999999998e-001	-9.026079e-001
-7.529999999999998e-001	-9.007438e-001
-7.519999999999998e-001	-8.988809e-001
-7.509999999999998e-001	-8.970191e-001
-7.499999999999998e-001	-8.951586e-001
-7.489999999999998e-001	-8.932992e-001
-7.479999999999998e-001	-8.914410e-001
-7.469999999999998e-001	-8.895839e-001
-7.459999999999998e-001	-8.877280e-001
-7.449999999999998e-001	-8.858732e-001
-7.439999999999998e-001	-8.840196e-001
-7.429999999999998e-001	-8.821670e-001
-7.419999999999998e-001	-8.803156e-001
