time	V(n002)	V(n005)
3.178921845381636e-004	2.322145e+000	-1.347720e+001
3.217984345381636e-004	1.988265e+000	-1.347718e+001
3.257046845381636e-004	1.650469e+000	-1.347716e+001
3.296109345381636e-004	1.309479e+000	-1.347714e+001
3.335171845381636e-004	9.659815e-001	-1.347711e+001
3.374234345381636e-004	6.206272e-001	-1.347709e+001
3.413296845381636e-004	2.741172e-001	-1.347707e+001
3.427769711547568e-004	1.455058e-001	-1.347706e+001
3.434183930636722e-004	8.846095e-002	-1.347706e+001
3.439513773870755e-004	4.104683e-002	-1.347705e+001
3.441166679812361e-004	2.634120e-002	-1.347705e+001
3.443756885521555e-004	3.295773e-003	-1.347705e+001
3.446344924239483e-004	-1.973152e-002	-1.347705e+001
3.449700723244316e-004	-4.959036e-002	-1.347705e+001
3.453684363488546e-004	-8.502284e-002	-1.347705e+001
3.456544981458838e-004	-1.104565e-001	-1.347704e+001
3.459166208543930e-004	-1.337815e-001	-1.347704e+001
3.461898403677045e-004	-1.580957e-001	-1.347704e+001
3.469595071711727e-004	-2.265733e-001	-1.347704e+001
3.502687206272135e-004	-5.213342e-001	-1.347702e+001
3.535779340832543e-004	-8.150360e-001	-1.347700e+001
3.568871475392951e-004	-1.107679e+000	-1.347698e+001
3.601963609953359e-004	-1.399262e+000	-1.347696e+001
3.635055744513767e-004	-1.689787e+000	-1.347694e+001
3.668147879074175e-004	-1.979252e+000	-1.347692e+001
3.701240013634583e-004	-2.267658e+000	-1.347690e+001
3.740302513634583e-004	-2.604664e+000	-1.347688e+001
3.779365013634583e-004	-2.938606e+000	-1.347686e+001
3.818427513634583e-004	-3.269165e+000	-1.347684e+001
3.857490013634583e-004	-3.596044e+000	-1.347681e+001
3.935615013634583e-004	-4.237679e+000	-1.347536e+001
4.013740013634583e-004	-4.861547e+000	-1.346395e+001
4.052802513634583e-004	-5.166271e+000	-1.344615e+001
4.091865013634583e-004	-5.467234e+000	-1.341397e+001
4.093018818416829e-004	-5.476014e+000	-1.341184e+001
4.095326427981326e-004	-5.493454e+000	-1.340366e+001
4.099941647110316e-004	-5.528356e+000	-1.338113e+001
4.100264964024486e-004	-5.530778e+000	-1.337859e+001
4.100911597852827e-004	-5.535558e+000	-1.337058e+001
4.101871512180496e-004	-5.542549e+000	-1.335379e+001
4.102318502765237e-004	-5.545667e+000	-1.334142e+001
4.102624825605638e-004	-5.547629e+000	-1.332797e+001
4.102838044307473e-004	-5.548812e+000	-1.331396e+001
4.103011794428378e-004	-5.549565e+000	-1.329735e+001
4.103180129618801e-004	-5.550039e+000	-1.327463e+001
4.103389325286590e-004	-5.550347e+000	-1.323698e+001
4.103648131302293e-004	-5.550586e+000	-1.317914e+001
4.103923141895046e-004	-5.550884e+000	-1.310586e+001
4.104217476626365e-004	-5.551262e+000	-1.301166e+001
4.104629835481122e-004	-5.551635e+000	-1.284686e+001
4.105203666933373e-004	-5.551484e+000	-1.255002e+001
4.105840512930226e-004	-5.550361e+000	-1.211925e+001
4.106485539484049e-004	-5.548859e+000	-1.157325e+001
4.107023784845668e-004	-5.548673e+000	-1.104638e+001
4.107646363923469e-004	-5.550858e+000	-1.039631e+001
4.108244436707978e-004	-5.554843e+000	-9.763125e+000
4.109639916923284e-004	-5.565644e+000	-8.284254e+000
4.111822561187777e-004	-5.582007e+000	-5.971038e+000
4.114005205452271e-004	-5.598300e+000	-3.657732e+000
4.116187849716765e-004	-5.614523e+000	-1.344338e+000
4.118370493981258e-004	-5.630676e+000	9.691451e-001
4.120553138245751e-004	-5.646759e+000	3.282717e+000
4.122735782510245e-004	-5.662772e+000	5.596378e+000
4.124918426774739e-004	-5.678715e+000	7.910128e+000
4.128342545612431e-004	-5.706315e+000	1.142717e+001
4.130417123577382e-004	-5.727800e+000	1.336598e+001
4.130444326786394e-004	-5.728646e+000	1.337878e+001
4.130498733204420e-004	-5.731483e+000	1.338211e+001
4.130607546040470e-004	-5.737209e+000	1.338778e+001
4.130753297992458e-004	-5.743969e+000	1.339401e+001
4.130906813132455e-004	-5.749630e+000	1.339933e+001
4.131067950129104e-004	-5.754388e+000	1.340392e+001
4.131254403683376e-004	-5.758633e+000	1.340835e+001
4.131469645829401e-004	-5.761846e+000	1.341267e+001
4.131667138163701e-004	-5.763899e+000	1.341611e+001
4.131778878229643e-004	-5.764982e+000	1.341785e+001
4.131895774149804e-004	-5.765888e+000	1.341952e+001
4.132033779485557e-004	-5.766553e+000	1.342134e+001
4.132159094416142e-004	-5.767212e+000	1.342289e+001
4.132259477787289e-004	-5.767969e+000	1.342406e+001
4.132375819776348e-004	-5.768811e+000	1.342534e+001
