time	V(vin+)	V(vout)
2.338114895763621e-003	8.506150e-001	1.339485e+001
2.340497528334446e-003	8.426516e-001	1.336445e+001
2.342880160905272e-003	8.344971e-001	1.332335e+001
2.345262793476097e-003	8.261514e-001	1.327157e+001
2.357617545630218e-003	7.791303e-001	1.251627e+001
2.369972297784339e-003	7.282437e-001	1.170067e+001
2.382327049938460e-003	6.734916e-001	1.082477e+001
2.394681802092581e-003	6.148738e-001	9.888558e+000
2.407036554246702e-003	5.523905e-001	8.892049e+000
2.419391306400823e-003	4.860416e-001	7.835237e+000
2.431746058554944e-003	4.158272e-001	6.718122e+000
2.449324183554943e-003	3.130527e-001	5.077466e+000
2.466902308554942e-003	2.064632e-001	3.374935e+000
2.484480433554942e-003	9.735785e-002	1.631277e+000
2.502058558554941e-003	-1.293394e-002	-1.322575e-001
2.519636683554941e-003	-1.230681e-001	-1.894179e+000
2.537214808554940e-003	-2.317026e-001	-3.633014e+000
2.554792933554939e-003	-3.375135e-001	-5.327574e+000
2.572371058554939e-003	-4.392115e-001	-6.957208e+000
2.589949183554938e-003	-5.355572e-001	-8.502056e+000
2.607527308554937e-003	-6.253766e-001	-9.943292e+000
2.625105433554937e-003	-7.075751e-001	-1.126335e+001
2.642683558554936e-003	-7.811510e-001	-1.244615e+001
2.656710785364020e-003	-8.330746e-001	-1.327199e+001
2.660630800557510e-003	-8.464591e-001	-1.333095e+001
2.664550815751000e-003	-8.593130e-001	-1.337739e+001
2.668470830944490e-003	-8.716362e-001	-1.341131e+001
2.672390846137979e-003	-8.834288e-001	-1.343271e+001
2.676310861331469e-003	-8.946907e-001	-1.344158e+001
2.680230876524959e-003	-9.054221e-001	-1.343794e+001
2.684150891718449e-003	-9.156228e-001	-1.342177e+001
2.701729016718448e-003	-9.543574e-001	-1.343299e+001
2.719307141718448e-003	-9.814622e-001	-1.343872e+001
2.736885266718447e-003	-9.966068e-001	-1.344150e+001
2.754463391718446e-003	-9.996068e-001	-1.344215e+001
2.772041516718446e-003	-9.904255e-001	-1.344083e+001
2.789619641718445e-003	-9.691747e-001	-1.343719e+001
2.807197766718444e-003	-9.361136e-001	-1.343006e+001
2.824775891718444e-003	-8.916449e-001	-1.341531e+001
2.827662317318520e-003	-8.832802e-001	-1.342170e+001
2.830548742918597e-003	-8.746325e-001	-1.341978e+001
2.833435168518673e-003	-8.657018e-001	-1.340953e+001
2.836321594118750e-003	-8.564879e-001	-1.339096e+001
2.839208019718827e-003	-8.469911e-001	-1.336407e+001
2.842094445318904e-003	-8.372111e-001	-1.332886e+001
2.844980870918980e-003	-8.271481e-001	-1.328533e+001
2.857770863026930e-003	-7.784506e-001	-1.250401e+001
2.870560855134880e-003	-7.256436e-001	-1.165833e+001
2.883350847242830e-003	-6.687271e-001	-1.074829e+001
2.896140839350781e-003	-6.077012e-001	-9.773886e+000
2.908930831458731e-003	-5.425659e-001	-8.735121e+000
2.921720823566681e-003	-4.733211e-001	-7.631994e+000
2.934510815674631e-003	-3.999669e-001	-6.464506e+000
2.952088940674630e-003	-2.965079e-001	-4.812800e+000
2.969667065674629e-003	-1.894357e-001	-3.102445e+000
2.987245190674629e-003	-8.005507e-002	-1.354282e+000
2.998963940674628e-003	-6.509707e-003	-1.783455e-001
3.016542065674628e-003	1.037498e-001	1.585380e+000
3.034120190674627e-003	2.127451e-001	3.329789e+000
3.051698315674627e-003	3.191478e-001	5.033624e+000
3.069276440674626e-003	4.216613e-001	6.676124e+000
3.086854565674625e-003	5.190365e-001	8.237272e+000
3.104432690674625e-003	6.100867e-001	9.698046e+000
3.122010815674624e-003	6.937023e-001	1.104064e+001
3.139588940674623e-003	7.688643e-001	1.224870e+001
3.142299117294675e-003	7.796495e-001	1.243584e+001
3.145009293914726e-003	7.902007e-001	1.261217e+001
3.147719470534778e-003	8.005178e-001	1.277770e+001
3.150429647154829e-003	8.106009e-001	1.293243e+001
3.153139823774881e-003	8.204500e-001	1.307635e+001
3.155850000394932e-003	8.300650e-001	1.320946e+001
3.158560177014983e-003	8.394460e-001	1.333178e+001
3.171917002838939e-003	8.825016e-001	1.337452e+001
3.185273828662895e-003	9.188468e-001	1.340826e+001
3.198630654486851e-003	9.484816e-001	1.343301e+001
3.211987480310807e-003	9.714060e-001	1.344877e+001
3.225344306134763e-003	9.876199e-001	1.345553e+001
3.238701131958719e-003	9.971233e-001	1.345329e+001
3.252057957782675e-003	9.999164e-001	1.344206e+001
3.269636082782674e-003	9.923987e-001	1.344102e+001
3.287214207782674e-003	9.727876e-001	1.343774e+001
3.304792332782673e-003	9.413220e-001	1.343122e+001
3.322370457782672e-003	8.983853e-001	1.341808e+001
3.325634649949281e-003	8.891773e-001	1.343069e+001
3.328898842115890e-003	8.796061e-001	1.343223e+001
3.332163034282499e-003	8.696718e-001	1.342272e+001
3.335427226449108e-003	8.593744e-001	1.340213e+001
3.338691418615716e-003	8.487139e-001	1.337049e+001
3.341955610782325e-003	8.376903e-001	1.332778e+001
3.345219802948934e-003	8.263035e-001	1.327400e+001
3.358168244732536e-003	7.768254e-001	1.247961e+001
3.371116686516138e-003	7.231679e-001	1.161987e+001
3.384065128299741e-003	6.653310e-001	1.069478e+001
3.397013570083343e-003	6.033147e-001	9.704331e+000
3.409962011866945e-003	5.371190e-001	8.648529e+000
3.422910453650547e-003	4.667439e-001	7.527374e+000
3.435858895434150e-003	3.921894e-001	6.340864e+000
3.453437020434149e-003	2.884081e-001	4.683907e+000
3.471015145434148e-003	1.811122e-001	2.969872e+000
3.488593270434148e-003	7.160925e-002	1.219646e+000
3.500312020434147e-003	-1.960481e-003	4.324573e-002
3.517890145434147e-003	-1.121705e-001	-1.719799e+000
3.535468270434146e-003	-2.210137e-001	-3.461883e+000
3.553046395434145e-003	-3.271635e-001	-5.161777e+000
3.570624520434145e-003	-4.293265e-001	-6.798765e+000
3.588202645434144e-003	-5.262578e-001	-8.352898e+000
3.605780770434143e-003	-6.167759e-001	-9.805237e+000
3.623358895434143e-003	-6.997781e-001	-1.113808e+001
3.640937020434142e-003	-7.742527e-001	-1.233520e+001
3.643436817858213e-003	-7.841044e-001	-1.250727e+001
3.645936615282283e-003	-7.937563e-001	-1.266933e+001
3.648436412706353e-003	-8.032086e-001	-1.282138e+001
3.650936210130424e-003	-8.124611e-001	-1.296342e+001
3.653436007554494e-003	-8.215139e-001	-1.309544e+001
3.655935804978565e-003	-8.303670e-001	-1.321746e+001
3.658435602402635e-003	-8.390204e-001	-1.332946e+001
3.670857982148648e-003	-8.792779e-001	-1.337257e+001
3.683280361894660e-003	-9.137620e-001	-1.340667e+001
3.695702741640673e-003	-9.424726e-001	-1.343177e+001
3.708125121386686e-003	-9.654099e-001	-1.344785e+001
3.720547501132699e-003	-9.825736e-001	-1.345493e+001
3.732969880878711e-003	-9.939640e-001	-1.345300e+001
3.745392260624724e-003	-9.995809e-001	-1.344206e+001
3.762970385624723e-003	-9.966811e-001	-1.344177e+001
3.780548510624723e-003	-9.816356e-001	-1.343940e+001
3.798126635624722e-003	-9.546279e-001	-1.343431e+001
3.815704760624721e-003	-9.159870e-001	-1.342442e+001
3.833282885624721e-003	-8.661838e-001	-1.339966e+001
3.835083852747983e-003	-8.604711e-001	-1.341701e+001
3.836884819871244e-003	-8.546503e-001	-1.342058e+001
3.838685786994506e-003	-8.487215e-001	-1.341037e+001
3.840486754117768e-003	-8.426846e-001	-1.338639e+001
3.842287721241030e-003	-8.365397e-001	-1.334863e+001
3.844088688364292e-003	-8.302867e-001	-1.329710e+001
3.845889655487554e-003	-8.239257e-001	-1.323178e+001
3.858673177245424e-003	-7.748497e-001	-1.244574e+001
3.871456699003294e-003	-7.217068e-001	-1.159567e+001
3.884240220761164e-003	-6.644970e-001	-1.068159e+001
3.897023742519034e-003	-6.032202e-001	-9.703480e+000
3.909807264276904e-003	-5.378766e-001	-8.661355e+000
3.922590786034774e-003	-4.684659e-001	-7.555211e+000
3.935374307792644e-003	-3.949884e-001	-6.385048e+000
3.952952432792645e-003	-2.913221e-001	-4.729984e+000
3.970530557792645e-003	-1.841057e-001	-3.017280e+000
3.988108682792646e-003	-7.464585e-002	-1.267807e+000
3.999827432792646e-003	-1.084272e-003	-9.158072e-002
4.017405557792647e-003	1.091445e-001	1.671697e+000
4.034983682792648e-003	2.180432e-001	3.414606e+000
4.052561807792648e-003	3.242848e-001	5.115908e+000
4.070139932792649e-003	4.265747e-001	6.754872e+000
4.087718057792650e-003	5.236663e-001	8.311524e+000
4.105296182792650e-003	6.143764e-001	9.766897e+000
4.122874307792651e-003	6.975998e-001	1.110326e+001
4.140452432792652e-003	7.723221e-001	1.230432e+001
4.142995919782866e-003	7.823824e-001	1.247841e+001
4.145539406773081e-003	7.922362e-001	1.264309e+001
4.148082893763295e-003	8.018836e-001	1.279836e+001
4.150626380753510e-003	8.113246e-001	1.294421e+001
4.153169867743724e-003	8.205591e-001	1.308066e+001
4.155713354733939e-003	8.295871e-001	1.320769e+001
4.158256841724153e-003	8.384087e-001	1.332532e+001
4.168930194453710e-003	8.733166e-001	1.336877e+001
4.179603547183267e-003	9.040110e-001	1.340324e+001
4.190276899912824e-003	9.304920e-001	1.342874e+001
4.200950252642380e-003	9.527594e-001	1.344527e+001
4.211623605371937e-003	9.708134e-001	1.345281e+001
4.222296958101494e-003	9.846539e-001	1.345138e+001
4.232970310831051e-003	9.942809e-001	1.344097e+001
4.250548435831052e-003	9.999940e-001	1.344206e+001
4.268126560831052e-003	9.935213e-001	1.344119e+001
4.285704685831053e-003	9.749413e-001	1.343813e+001
4.303282810831054e-003	9.444807e-001	1.343196e+001
4.320860935831054e-003	9.025106e-001	1.341968e+001
4.324322339775782e-003	8.929183e-001	1.342855e+001
4.327783743720510e-003	8.829163e-001	1.342786e+001
4.331245147665237e-003	8.725045e-001	1.341761e+001
4.334706551609965e-003	8.616830e-001	1.339780e+001
4.338167955554692e-003	8.504517e-001	1.336842e+001
4.341629359499420e-003	8.388107e-001	1.332948e+001
4.345090763444148e-003	8.267599e-001	1.328098e+001
4.358052390284402e-003	7.772830e-001	1.248673e+001
4.371014017124657e-003	7.236147e-001	1.162691e+001
4.383975643964912e-003	6.657550e-001	1.070151e+001
4.396937270805167e-003	6.037038e-001	9.710552e+000
4.409898897645422e-003	5.374612e-001	8.654021e+000
4.422860524485677e-003	4.670272e-001	7.531922e+000
4.435822151325932e-003	3.924018e-001	6.344254e+000
4.453400276325932e-003	2.886291e-001	4.687437e+000
4.470978401325933e-003	1.813392e-001	2.973500e+000
4.488556526325934e-003	7.183953e-002	1.223327e+000
4.500275276325934e-003	-1.729611e-003	4.693802e-002
4.517853401325935e-003	-1.119411e-001	-1.716128e+000
4.535431526325936e-003	-2.207885e-001	-3.458278e+000
4.553009651325936e-003	-3.269453e-001	-5.158282e+000
4.570587776325937e-003	-4.291180e-001	-6.795423e+000
4.588165901325937e-003	-5.260614e-001	-8.349749e+000
4.605744026325938e-003	-6.165942e-001	-9.802320e+000
4.623322151325939e-003	-6.996132e-001	-1.113543e+001
4.640900276325939e-003	-7.741066e-001	-1.233285e+001
4.643400271108119e-003	-7.839618e-001	-1.250474e+001
4.645900265890298e-003	-7.936174e-001	-1.266675e+001
4.648400260672478e-003	-8.030732e-001	-1.281889e+001
4.650900255454657e-003	-8.123294e-001	-1.296115e+001
4.653400250236837e-003	-8.213858e-001	-1.309353e+001
