time	V(in,+)	V(out)	V(in,-)
3.861724726758596e-003	4.148258e+000	1.347638e+001	6.000000e+000
3.880976958901453e-003	3.570691e+000	1.347729e+001	6.000000e+000
3.900229191044310e-003	2.993124e+000	1.347786e+001	6.000000e+000
3.919481423187167e-003	2.415557e+000	1.347807e+001	6.000000e+000
3.938733655330024e-003	1.837990e+000	1.347793e+001	6.000000e+000
3.957985887472881e-003	1.260424e+000	1.347744e+001	6.000000e+000
3.963845262472882e-003	1.084642e+000	1.347746e+001	6.000000e+000
3.969704637472882e-003	9.088610e-001	1.347743e+001	6.000000e+000
3.975564012472882e-003	7.330797e-001	1.347697e+001	6.000000e+000
3.981423387472882e-003	5.572985e-001	1.347517e+001	6.000000e+000
3.987282762472883e-003	3.815172e-001	1.347145e+001	6.000000e+000
3.993142137472883e-003	2.057360e-001	1.346627e+001	6.000000e+000
3.996137612054251e-003	1.158718e-001	1.346268e+001	6.000000e+000
4.000000004000005e-003	1.243450e-014	1.345730e+001	6.000000e+000
4.000501762280382e-003	1.505275e-002	1.345679e+001	6.000000e+000
4.004454910890612e-003	1.336472e-001	1.345974e+001	6.000000e+000
4.006781209428165e-003	2.034362e-001	1.346258e+001	6.000000e+000
4.010596786234933e-003	3.179035e-001	1.346681e+001	6.000000e+000
4.015981502358186e-003	4.794450e-001	1.347163e+001	6.000000e+000
4.021840877358187e-003	6.552262e-001	1.347526e+001	6.000000e+000
4.027700252358187e-003	8.310074e-001	1.347702e+001	6.000000e+000
4.033559627358187e-003	1.006789e+000	1.347745e+001	6.000000e+000
4.039419002358187e-003	1.182570e+000	1.347746e+001	6.000000e+000
4.179390366674105e-003	5.381711e+000	1.347396e+001	6.000000e+000
4.190652412483199e-003	5.719572e+000	1.345760e+001	6.000000e+000
4.196511787483199e-003	5.895353e+000	1.284099e+001	6.000000e+000
4.202371162483200e-003	6.071135e+000	9.447831e+000	6.000000e+000
4.204729170755926e-003	6.141875e+000	6.176671e+000	6.000000e+000
4.207554196245729e-003	6.226626e+000	1.600729e+000	6.000000e+000
4.207602633943307e-003	6.228079e+000	1.566074e+000	6.000000e+000
4.209210219738487e-003	6.276306e+000	1.555256e+000	6.000000e+000
4.210817805533667e-003	6.324534e+000	1.546340e+000	6.000000e+000
4.212425391328847e-003	6.372762e+000	1.539325e+000	6.000000e+000
4.214032977124027e-003	6.420989e+000	1.534212e+000	6.000000e+000
4.215640562919207e-003	6.469217e+000	1.531000e+000	6.000000e+000
4.217248148714387e-003	6.517444e+000	1.529689e+000	6.000000e+000
4.218855734509567e-003	6.565672e+000	1.530279e+000	6.000000e+000
4.236433859509567e-003	7.093016e+000	1.523061e+000	6.000000e+000
4.365060047751495e-003	1.095180e+001	1.523146e+000	6.000000e+000
4.500335549384187e-003	1.498993e+001	1.523146e+000	6.000000e+000
4.540232072066452e-003	1.379304e+001	1.522639e+000	6.000000e+000
4.580128594748717e-003	1.259614e+001	1.522449e+000	6.000000e+000
4.620025117430982e-003	1.139925e+001	1.522577e+000	6.000000e+000
4.659921640113248e-003	1.020235e+001	1.523022e+000	6.000000e+000
4.699818162795513e-003	9.005456e+000	1.523784e+000	6.000000e+000
4.739714685477779e-003	7.808560e+000	1.524863e+000	6.000000e+000
4.779611208160044e-003	6.611664e+000	1.526259e+000	6.000000e+000
4.790865764614575e-003	6.274027e+000	1.543009e+000	6.000000e+000
4.796725139614575e-003	6.098246e+000	1.569292e+000	6.000000e+000
4.800647657850567e-003	5.980570e+000	2.196026e+000	6.000000e+000
4.802640341621353e-003	5.920790e+000	3.934571e+000	6.000000e+000
4.804066691892406e-003	5.877999e+000	6.843905e+000	6.000000e+000
4.805574819049798e-003	5.832756e+000	1.082298e+001	6.000000e+000
4.806695914124120e-003	5.799123e+000	1.338555e+001	6.000000e+000
4.809056534619049e-003	5.728304e+000	1.342352e+001	6.000000e+000
4.811417155113978e-003	5.657486e+000	1.345302e+001	6.000000e+000
4.813777775608907e-003	5.586667e+000	1.347405e+001	6.000000e+000
4.816138396103837e-003	5.515848e+000	1.348662e+001	6.000000e+000
4.818499016598765e-003	5.445030e+000	1.349071e+001	6.000000e+000
4.820859637093695e-003	5.374211e+000	1.348634e+001	6.000000e+000
4.823220257588624e-003	5.303392e+000	1.347349e+001	6.000000e+000
4.842472489731482e-003	4.725825e+000	1.347511e+001	6.000000e+000
4.861724721874339e-003	4.148258e+000	1.347638e+001	6.000000e+000
4.880976954017197e-003	3.570692e+000	1.347729e+001	6.000000e+000
4.900229186160055e-003	2.993125e+000	1.347786e+001	6.000000e+000
4.919481418302913e-003	2.415558e+000	1.347807e+001	6.000000e+000
4.938733650445771e-003	1.837991e+000	1.347793e+001	6.000000e+000
4.957985882588629e-003	1.260424e+000	1.347744e+001	6.000000e+000
4.963845257588629e-003	1.084642e+000	1.347746e+001	6.000000e+000
4.969704632588629e-003	9.088612e-001	1.347743e+001	6.000000e+000
4.975564007588629e-003	7.330799e-001	1.347697e+001	6.000000e+000
4.981423382588630e-003	5.572987e-001	1.347517e+001	6.000000e+000
4.987282757588630e-003	3.815174e-001	1.347145e+001	6.000000e+000
4.993142132588630e-003	2.057362e-001	1.346627e+001	6.000000e+000
4.996137624822767e-003	1.158714e-001	1.346268e+001	6.000000e+000
5.000000005000008e-003	0.000000e+000	1.345730e+001	6.000000e+000
5.000501763287810e-003	1.505275e-002	1.345679e+001	6.000000e+000
5.004454911504072e-003	1.336472e-001	1.345974e+001	6.000000e+000
5.006781210074113e-003	2.034362e-001	1.346258e+001	6.000000e+000
5.010596786641596e-003	3.179035e-001	1.346681e+001	6.000000e+000
5.015981502514725e-003	4.794449e-001	1.347163e+001	6.000000e+000
5.021840877514726e-003	6.552262e-001	1.347526e+001	6.000000e+000
5.027700252514726e-003	8.310074e-001	1.347702e+001	6.000000e+000
5.033559627514726e-003	1.006789e+000	1.347745e+001	6.000000e+000
5.039419002514726e-003	1.182570e+000	1.347746e+001	6.000000e+000
5.179390366715160e-003	5.381711e+000	1.347396e+001	6.000000e+000
5.190652412464340e-003	5.719572e+000	1.345760e+001	6.000000e+000
5.196511787464340e-003	5.895353e+000	1.284099e+001	6.000000e+000
5.202371162464341e-003	6.071135e+000	9.447834e+000	6.000000e+000
5.204729170453548e-003	6.141875e+000	6.176675e+000	6.000000e+000
5.207554196723850e-003	6.226626e+000	1.600729e+000	6.000000e+000
5.207602634548530e-003	6.228079e+000	1.566074e+000	6.000000e+000
5.209210221681766e-003	6.276306e+000	1.555256e+000	6.000000e+000
5.210817808815004e-003	6.324534e+000	1.546340e+000	6.000000e+000
5.212425395948241e-003	6.372762e+000	1.539325e+000	6.000000e+000
5.214032983081478e-003	6.420989e+000	1.534212e+000	6.000000e+000
5.215640570214715e-003	6.469217e+000	1.531000e+000	6.000000e+000
5.217248157347952e-003	6.517445e+000	1.529689e+000	6.000000e+000
5.218855744481189e-003	6.565672e+000	1.530279e+000	6.000000e+000
5.236433869481190e-003	7.093016e+000	1.523061e+000	6.000000e+000
5.500335550384189e-003	1.498993e+001	1.523146e+000	6.000000e+000
5.540232073066451e-003	1.379304e+001	1.522639e+000	6.000000e+000
5.580128595748714e-003	1.259614e+001	1.522449e+000	6.000000e+000
5.620025118430976e-003	1.139925e+001	1.522577e+000	6.000000e+000
5.659921641113237e-003	1.020235e+001	1.523022e+000	6.000000e+000
5.699818163795500e-003	9.005456e+000	1.523784e+000	6.000000e+000
5.739714686477762e-003	7.808560e+000	1.524863e+000	6.000000e+000
5.779611209160024e-003	6.611664e+000	1.526259e+000	6.000000e+000
5.790865765614539e-003	6.274027e+000	1.543009e+000	6.000000e+000
5.796725140614539e-003	6.098246e+000	1.569292e+000	6.000000e+000
5.800647658850519e-003	5.980570e+000	2.196026e+000	6.000000e+000
5.802640342621329e-003	5.920790e+000	3.934571e+000	6.000000e+000
5.804066692892382e-003	5.877999e+000	6.843905e+000	6.000000e+000
5.805574820049777e-003	5.832756e+000	1.082298e+001	6.000000e+000
5.806695915124117e-003	5.799123e+000	1.338555e+001	6.000000e+000
5.809056535619053e-003	5.728304e+000	1.342352e+001	6.000000e+000
5.811417156113989e-003	5.657486e+000	1.345302e+001	6.000000e+000
5.813777776608926e-003	5.586667e+000	1.347405e+001	6.000000e+000
5.816138397103862e-003	5.515848e+000	1.348662e+001	6.000000e+000
5.818499017598799e-003	5.445030e+000	1.349071e+001	6.000000e+000
5.820859638093734e-003	5.374211e+000	1.348634e+001	6.000000e+000
5.823220258588671e-003	5.303392e+000	1.347349e+001	6.000000e+000
5.842472490731529e-003	4.725825e+000	1.347511e+001	6.000000e+000
5.861724722874387e-003	4.148258e+000	1.347638e+001	6.000000e+000
5.880976955017245e-003	3.570692e+000	1.347729e+001	6.000000e+000
5.900229187160102e-003	2.993125e+000	1.347786e+001	6.000000e+000
5.919481419302960e-003	2.415558e+000	1.347807e+001	6.000000e+000
5.938733651445818e-003	1.837991e+000	1.347793e+001	6.000000e+000
5.957985883588676e-003	1.260424e+000	1.347744e+001	6.000000e+000
5.963845258588676e-003	1.084642e+000	1.347746e+001	6.000000e+000
5.969704633588677e-003	9.088612e-001	1.347743e+001	6.000000e+000
5.975564008588677e-003	7.330799e-001	1.347697e+001	6.000000e+000
5.981423383588677e-003	5.572987e-001	1.347517e+001	6.000000e+000
5.987282758588677e-003	3.815174e-001	1.347145e+001	6.000000e+000
5.993142133588677e-003	2.057362e-001	1.346627e+001	6.000000e+000
5.996137625822676e-003	1.158714e-001	1.346268e+001	6.000000e+000
6.000000000000000e-003	1.800003e-007	1.345730e+001	6.000000e+000
