time	V(vin+)	V(vout)
4.646363594422923e-003	-7.953771e-001	-2.383592e+000
4.663941719422924e-003	-8.573382e-001	-2.569646e+000
4.681519844422924e-003	-9.088517e-001	-2.724385e+000
4.699097969422925e-003	-9.492899e-001	-2.845924e+000
4.716676094422926e-003	-9.781599e-001	-2.932783e+000
4.734254219422926e-003	-9.951100e-001	-2.983902e+000
4.751832344422927e-003	-9.999337e-001	-2.998658e+000
4.769410469422928e-003	-9.925721e-001	-2.976872e+000
4.786988594422928e-003	-9.731150e-001	-2.918809e+000
4.804566719422929e-003	-9.417995e-001	-2.825177e+000
4.822144844422930e-003	-8.990071e-001	-2.697118e+000
4.839722969422930e-003	-8.452593e-001	-2.536190e+000
4.857301094422931e-003	-7.812112e-001	-2.344356e+000
4.874879219422932e-003	-7.076432e-001	-2.123953e+000
4.892457344422932e-003	-6.254518e-001	-1.877668e+000
4.910035469422933e-003	-5.356386e-001	-1.608501e+000
4.927613594422934e-003	-4.392981e-001	-1.319732e+000
4.945191719422934e-003	-3.376043e-001	-1.014880e+000
4.962769844422935e-003	-2.317964e-001	-6.976612e-001
4.980347969422936e-003	-1.231638e-001	-3.719399e-001
4.997926094422936e-003	-1.303036e-002	-4.168582e-002
5.015504219422937e-003	9.726188e-002	2.890767e-001
5.033082344422938e-003	2.063689e-001	6.163169e-001
5.050660469422938e-003	3.129611e-001	9.360471e-001
5.068238594422939e-003	4.157395e-001	1.244371e+000
5.085816719422940e-003	5.134517e-001	1.537531e+000
5.103394844422940e-003	6.049069e-001	1.811956e+000
5.120972969422941e-003	6.889907e-001	2.064300e+000
5.138551094422942e-003	7.646785e-001	2.291490e+000
5.156129219422942e-003	8.310478e-001	2.490755e+000
5.173707344422943e-003	8.872899e-001	2.659668e+000
5.191285469422944e-003	9.327194e-001	2.796172e+000
5.208863594422944e-003	9.667827e-001	2.898601e+000
5.226441719422945e-003	9.890649e-001	2.965708e+000
5.244019844422946e-003	9.992942e-001	2.996676e+000
5.261597969422946e-003	9.973460e-001	2.991126e+000
5.279176094422947e-003	9.832441e-001	2.949127e+000
5.296754219422948e-003	9.571604e-001	2.871189e+000
5.314332344422948e-003	9.194126e-001	2.758264e+000
5.331910469422949e-003	8.704608e-001	2.611726e+000
5.349488594422950e-003	8.109015e-001	2.433362e+000
5.367066719422950e-003	7.414606e-001	2.225346e+000
5.384644844422951e-003	6.629841e-001	1.990211e+000
5.402222969422952e-003	5.764285e-001	1.730824e+000
5.419801094422952e-003	4.828485e-001	1.450345e+000
5.437379219422953e-003	3.833844e-001	1.152193e+000
5.454957344422954e-003	2.792485e-001	8.399999e-001
5.472535469422954e-003	1.717096e-001	5.175711e-001
5.490113594422955e-003	6.207818e-002	1.888355e-001
5.494298862280098e-003	3.576822e-002	1.099388e-001
5.498484130137241e-003	9.478925e-003	3.110236e-002
5.502669397994384e-003	-1.678969e-002	-4.767395e-002
5.506854665851527e-003	-4.303764e-002	-1.263901e-001
5.511039933708670e-003	-6.926492e-002	-2.050461e-001
5.515225201565813e-003	-9.547153e-002	-2.836419e-001
5.519410469422956e-003	-1.216575e-001	-3.621776e-001
5.536988594422957e-003	-2.303197e-001	-6.880924e-001
5.554566719422957e-003	-3.361752e-001	-1.005622e+000
5.572144844422958e-003	-4.379341e-001	-1.310896e+000
5.589722969422959e-003	-5.343563e-001	-1.600195e+000
5.607301094422959e-003	-6.242668e-001	-1.869993e+000
5.624879219422960e-003	-7.065700e-001	-2.117003e+000
5.642457344422961e-003	-7.802628e-001	-2.338215e+000
5.660035469422961e-003	-8.444473e-001	-2.530933e+000
5.677613594422962e-003	-8.983414e-001	-2.692808e+000
5.695191719422963e-003	-9.412881e-001	-2.821867e+000
5.712769844422963e-003	-9.727643e-001	-2.916539e+000
5.730347969422964e-003	-9.923863e-001	-2.975669e+000
5.747926094422965e-003	-9.999151e-001	-2.998537e+000
5.765504219422965e-003	-9.952588e-001	-2.984864e+000
5.783082344422966e-003	-9.784743e-001	-2.934818e+000
5.800660469422967e-003	-9.497660e-001	-2.849007e+000
5.818238594422967e-003	-9.094837e-001	-2.728477e+000
5.835816719422968e-003	-8.581185e-001	-2.574698e+000
5.853394844422969e-003	-7.962962e-001	-2.389543e+000
5.865113594422969e-003	-7.496389e-001	-2.249774e+000
5.882691719422970e-003	-6.721210e-001	-2.017517e+000
5.900269844422970e-003	-5.864127e-001	-1.760674e+000
5.917847969422971e-003	-4.935583e-001	-1.482375e+000
5.935426094422972e-003	-3.946894e-001	-1.186011e+000
5.953004219422972e-003	-2.910108e-001	-8.751941e-001
5.970582344422973e-003	-1.837859e-001	-5.537117e-001
5.988160469422974e-003	-7.432137e-002	-2.254814e-001
5.999879219422974e-003	-7.588867e-004	-4.886979e-003
6.000000000000000e-003	-1.469576e-015	-2.610605e-003
