time	V(in,-)	V(out)	V(in,+)
2.061969319062035e-003	2.000000e+000	1.524518e+000	6.196932e-001
2.067828694062034e-003	2.000000e+000	1.523789e+000	6.782869e-001
2.073688069062034e-003	2.000000e+000	1.523400e+000	7.368807e-001
2.079547444062034e-003	2.000000e+000	1.523288e+000	7.954744e-001
2.085406819062034e-003	2.000000e+000	1.523332e+000	8.540682e-001
2.091266194062033e-003	2.000000e+000	1.523450e+000	9.126619e-001
2.097125569062033e-003	2.000000e+000	1.523621e+000	9.712557e-001
2.114703694062033e-003	2.000000e+000	1.524534e+000	1.147037e+000
2.120563069062032e-003	2.000000e+000	1.524849e+000	1.205631e+000
2.126422444062032e-003	2.000000e+000	1.525442e+000	1.264224e+000
2.132281819062032e-003	2.000000e+000	1.526313e+000	1.322818e+000
2.138141194062032e-003	2.000000e+000	1.527463e+000	1.381412e+000
2.144000569062032e-003	2.000000e+000	1.528892e+000	1.440006e+000
2.149859944062031e-003	2.000000e+000	1.530599e+000	1.498599e+000
2.155719319062031e-003	2.000000e+000	1.532585e+000	1.557193e+000
2.160741640490602e-003	2.000000e+000	1.534093e+000	1.607416e+000
2.165763961919174e-003	2.000000e+000	1.536894e+000	1.657640e+000
2.170786283347745e-003	2.000000e+000	1.540989e+000	1.707863e+000
2.175808604776316e-003	2.000000e+000	1.546378e+000	1.758086e+000
2.180830926204887e-003	2.000000e+000	1.553061e+000	1.808309e+000
2.185853247633459e-003	2.000000e+000	1.561038e+000	1.858532e+000
2.190875569062030e-003	2.000000e+000	1.570308e+000	1.908756e+000
2.196734944062030e-003	2.000000e+000	1.595186e+000	1.967349e+000
2.200255044042043e-003	2.000000e+000	1.840845e+000	2.002550e+000
2.202820984320637e-003	2.000000e+000	2.463362e+000	2.028210e+000
2.205280409663839e-003	2.000000e+000	3.319986e+000	2.052804e+000
2.205700996081138e-003	2.000000e+000	3.395845e+000	2.057010e+000
2.208901473947010e-003	2.000000e+000	3.413886e+000	2.089015e+000
2.212101951812881e-003	2.000000e+000	3.428716e+000	2.121019e+000
2.215302429678753e-003	2.000000e+000	3.440337e+000	2.153024e+000
